,도서명,카테고리,정가,평점,리뷰수,태그
213,백견불여일타 머신러닝 데이터 전처리 입문,컴퓨터/IT,"25,000",0.0,0,#대시보드 #로지스틱 회귀분석 #전처리
214,만만한 실무 데이터 분석 with 엑셀,컴퓨터/IT,"20,000",10,0,#파이썬 #변환 #프로그래밍 언어
215,엑셀만 알아도 할 수 있는 데이터 과학,컴퓨터/IT,"19,800",9.4,24,#데이터분석 #RStudio #magrittr #tibble #dplyr #ggplot2 #그래프 #정규표현식 #디지털트랜스포메이션 #히트맵
216,R을 활용한 데이터 시각화,컴퓨터/IT,"50,000",0.0,0,#하둡 #마이닝 #복잡도
217,데이터 분석이 쉬워지는 정규표현식,컴퓨터/IT,"33,000",6.9,0,#스트림 #전산학 #산점도
218,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",7.5,0,#스토리지 #자바 스크립트 #제이드
219,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,0,#엘라스틱서치 #키바나 #대시보드 #빅데이터 #로그스태시 #비츠 #스프링 #프레임워크
220,하둡과 스파크를 활용한 실용 데이터 과학,컴퓨터/IT,"28,000",8.3,0,#청소년자기계발 #전문가 #인터뷰 #일화 #진로 #직업
221,모두의 R 데이터 분석,컴퓨터/IT,"20,000",8.9,6,#오픈소스 #데이터베이스
222,데이터 시각화 기본기 다지기,컴퓨터/IT,"28,000",5.0,0,#하둡 #이클립스 #엑셀
223,소문난 명강의 김도형의 데이터 사이언스 스쿨(수학 편),컴퓨터/IT,"55,000",0.0,0,#의료 #회귀분석 #빅 데이터 활용
224,데이터 과학자 되는 법,컴퓨터/IT,"24,000",10,0,#플롯 #앤드류 #사용자 입력
225,Mplus를 이용한 데이터 분석,컴퓨터/IT,"20,000",10,2,#정의 #물리 #식별자
226,비전공자도 배워서 바로 쓰는 비즈니스 데이터 분석 실무,경제/경영,"20,000",10,0,#정보 #컴퓨터 프로그래밍 #기자
227,빅데이터 활용사전 419,컴퓨터/IT,"48,500",0.0,0,#로지스틱 회귀 #서드 #커널
228,모두를 위한 R 데이터 분석 입문,컴퓨터/IT,"26,000",10,6,#데크 #이항 #이진수
229,데이터베이스 인터널스,컴퓨터/IT,"35,000",9.2,0,#빅데이터 #디지털마케팅
230,2022 빅데이터 분석기사 필기,컴퓨터/IT,"34,000",0.0,0,#파이썬 #액션스크립트 #대시보드
231,R을 이용한 데이터 처리&분석 실무,컴퓨터/IT,"36,000",10,0,#파싱 #메 서드 #엑셀
232,예제로 배우는 SAS 데이터 분석 입문,컴퓨터/IT,"22,000",9.3,4,#리소스 #페이징 #적용 가능
233,NCS 기반 경영 빅데이터 분석,경제/경영,"22,000",5.0,0,#인공지능 #블록체인 #맬서스
234,R 기반 데이터 과학 타이디버스 접근,컴퓨터/IT,"30,000",10,0,#빅데이터 #인공지능 #딥러닝 #자료분석
235,"세상을 읽는 새로운 언어, 빅데이터",경제/경영,"16,000",0.0,1,#파이썬 #베이지안 #베이즈
236,데이터 통계학 이론과 응용,컴퓨터/IT,"36,000",9.2,1,#데이터엔지니어 #데이터마트 #데이터기반의사결정 #데이터스튜디오 #도메인전문가 #데이터분석 #데이터분석 #데이터베이스 #인공지능 #제4차산업혁명
237,데이터 분석을 위한 베이지안 통계 모델링 with Stan & R,컴퓨터/IT,"30,000",9.2,1,#R #마케팅 #빅데이터 #Java #SQL #ggplot #ggmap
238,NCS 기반 경영 빅데이터 분석사 2급: 핵심요약 및 출제예상문제집,컴퓨터/IT,"20,000",0.0,10,#쿼리 #파급 효과 #경영학
239,강도설계 데이터북,기술/공학,"50,000",9.2,0,#데이터시각화 #visualization #프리젠테이션 #프레젠테이션 #prezentation #PPT
240,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.4,3,#사용자 인터페이스 #플롯 #사용자 정의
241,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,0,#필수 예제 #기출 유형 #출제 유형
242,데이터 과학 기반의 파이썬 빅데이터 분석,컴퓨터/IT,"28,000",0.0,0,#직장인 #엑셀 #그림 파일
243,헤드 퍼스트 데이터 분석(Head First Data Analysis),컴퓨터/IT,"30,000",7.3,1,#딕셔너리 #배포판 #차원 배열
244,데이터 아이코놀로지(Data Iconology),컴퓨터/IT,"26,000",0.0,2,#정규 표현식 #파싱 #리소스
245,업무에 바로 활용하는 데이터 시각화 기법 (2권 세트),컴퓨터/IT,"60,000",10,0,#파이썬 #대시보드 #스크립팅
246,R을 이용한 통계데이터분석,컴퓨터/IT,"35,000",9.3,3,#마케팅 #마케팅컨설턴트
247,2022 빅데이터분석기사 필기 한권으로 끝내기,컴퓨터/IT,"35,000",10,0,#파이썬 #워크플로 #분산분석
248,아파치 플링크로 하는 스트림 데이터 처리,컴퓨터/IT,"35,000",0.0,0,#로지스틱 회귀 #단원 문제 #모델링
249,데이터 민주화와 셀프서비스 데이터,컴퓨터/IT,"30,000",10,0,#파이썬 #회귀분석 #푸리
250,데이터로 과학하기,청소년,"14,000",0.0,0,#엑셀2007 #엑셀2016 #비즈니스업무 #데이터관리 #비주얼보고서
251,R 데이터 구조와 알고리즘,컴퓨터/IT,"30,000",10,0,#도커 #스트림 #리눅스
252,프레스금형제작 방전가공용 데이터 생성,기술/공학,"15,000",10,0,#프로그래밍 #모의고사 #회귀분석
253,보안 데이터 시각화,컴퓨터/IT,"40,000",0.0,2,#인공지능 #분석 결과 #분석 능력
254,데이터 자본주의,경제/경영,"20,000",10,9,#파이썬 #스턴스 #타이타닉
255,데이터 익명화를 위한 파이프라인,컴퓨터/IT,"20,000",10,0,#엑세스 #최적 #실행 계획
256,데이터 사이언스의 매력,경제/경영,"24,000",9.2,0,#피벗 테이블 #피벗 차트 #쿼리
257,글로벌 스탠더드 데이터 모델,컴퓨터/IT,"38,000",9.4,0,#회귀분석 #핵심 문제 #거버넌스
258,Must Have 나성호의 R 데이터 분석 입문,컴퓨터/IT,"20,000",7.8,3,#데이터머니 #데이터과학 #액시엄 #데이터서비스 #DRM #CRM #데이터거버넌스 #메타데이터 #AI플랫폼 #데이터옵스
259,직장인을 위한 실무 데이터 분석 with 엑셀,컴퓨터/IT,"22,000",0.0,0,#정부 간행물 #제언 참고 문헌 #조사표
260,직장인의 교양 데이터 과학,컴퓨터/IT,"13,000",10,0,#데이터베이스 설계 #컨설턴트 #개발 경험
261,파이썬으로 데이터 마이닝 시작하기,컴퓨터/IT,"21,000",10,1,#본질 #개념 #목표 #신기술 #차별화 #사례분석
262,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#모듈 #차원 배열 #파싱
263,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",10,0,#프로그래밍 #최적 #국내 기업
264,데이터 과학 무엇을 하는가?,컴퓨터/IT,"18,000",10,0,#인공지능 #로지스틱 회귀 #산점도
265,데이터 분석의 모든 것,컴퓨터/IT,"30,000",6.7,1,#식별자 #무결성 #속성
266,차세대 데이터 품질,경제/경영,"40,000",10,0,#오브젝트 #경기 흐름 #도해
267,모두의 데이터 과학 with 파이썬,컴퓨터/IT,"22,000",0.0,0,#어린이교양 #컴퓨터입문
268,클라우드 네이티브를 위한 데이터 센터 네트워크 구축,컴퓨터/IT,"36,000",0.0,0,#마케팅 #경영 전략 #통계학
269,실무 프로젝트로 배우는 데이터 분석 with R,컴퓨터/IT,"28,000",7.0,0,#파이썬 #회귀분석 #표 작성
270,데이터 전처리 대전,컴퓨터/IT,"30,000",0.0,0,#쿼리 #컬럼 #스턴스
271,이토록 쉬운 데이터 요약과 시각화 with R,컴퓨터/IT,"22,000",10,1,#팬북 #액션판타지만화 #닌자 #모험
272,게임 데이터 분석,컴퓨터/IT,"14,000",9.0,2,#보호관찰 #표목 #만적
273,데이터 시각화 설계와 활용,컴퓨터/IT,"22,000",5.0,0,#거버넌스 #로드맵 #웨어
274,HTML5 데이터 처리와 구현,컴퓨터/IT,"35,000",0.0,0,#경영혁신 #경영전략 #비즈니스모델 #실리콘밸리 #프리토타입 #데이터 #도구 #활용 #실패
275,데이터 모델링 실전처럼 시작하기,컴퓨터/IT,"20,000",0.0,0,#하둡 #웨어 #클라우드
276,나만의 데이터 분석 플랫폼 엘라스틱서치,컴퓨터/IT,"30,000",0.0,1,#독립서점 #독립출판 #위로
277,시맨틱 데이터 모형화,컴퓨터/IT,"30,000",0.0,0,#파이썬 설치 #생성자 #기계 학습
278,매출 올리는 데이터 사이언티스트,경제/경영,"16,000",10,0,#OSI참조모델 #LAN #WAN #TCP #디지털통신
279,데이터 사이언티스트 어떻게 되었을까?,청소년,"15,000",6.7,9,#임베디드 시스템 #웨이브 #디지털 신호
280,파이썬과 대스크를 활용한 고성능 데이터 분석,컴퓨터/IT,"28,000",6.4,1,#그림 #정부 간행물 #서언
281,파이썬을 이용한 데이터 분석 2/e,컴퓨터/IT,"30,000",2.5,0,#프로그래밍 #라이브러리 #조건문
282,디지털 뉴딜 시대 리더가 꼭 알아야 할 데이터 3법,경제/경영,"18,000",2.5,0,#객체 지향 프로그래밍 #통계학 #명령어
283,자바 데이터 분석,컴퓨터/IT,"35,000",10,0,#인공지능 #로지스틱 회귀 #회귀분석
284,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#크롤링 #크롤러 #스크래핑 #스크래퍼 #실시간데이터 #소셜
285,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",7.5,0,#엑셀통계
286,데이터 과학,컴퓨터/IT,"25,000",7.5,0,#인공지능 #부트스트랩 #비모수
287,매트랩 그래픽과 데이터 시각화,컴퓨터/IT,"30,000",9.6,0,#인공지능 #파이썬 #로지스틱 회귀
288,데이터 모델링 이론 및 실습,컴퓨터/IT,"25,000",0.0,0,#분산분석 #신뢰구간 #확률분포
289,데이터 분석과 저널리즘,정치/사회,"18,000",9.3,25,#생명 #셀룰러 #스케이프
290,데이터 통신,기술/공학,"29,000",8.8,0,#실력 굳히기 #디렉 토리 #문자열
291,R로 배우는 실무 데이터 과학,컴퓨터/IT,"30,000",0.0,0,#실기 필답 #복원 문제 #기출문제 정답
292,순수 함수형 데이터 구조,컴퓨터/IT,"35,000",9.4,20,#객체지향프로그래밍 #서브스트링 #그래프알고리즘
293,구글 애널리틱스로 하는 데이터 분석,컴퓨터/IT,"50,000",10,6,#데이터중심경제 #빅데이터 #로봇 #자율주행차
294,네이선 야우의 데이터 포인트,컴퓨터/IT,"27,500",10,1,#스타트업 #회계 #파급 효과
295,파이썬을 활용한 데이터 길들이기,컴퓨터/IT,"33,000",10,15,#회귀분석 #시계열 #이산
296,데이터 접근 패턴,컴퓨터/IT,"40,000",0.0,0,#본질 #개념 #목표 #신기술 #차별화 #사례분석
297,데이터 인문학,컴퓨터/IT,"17,000",9.2,0,#핵심 기능 #피벗 테이블 #피벗 차트
298,처음 배우는 데이터 과학,컴퓨터/IT,"28,000",7.5,0,#분산분석 #회귀분석 #신뢰구간
299,데이터 과학자가 되는 핵심 기술,컴퓨터/IT,"30,000",0.0,0,#엑셀 #관여도 #하둡
300,가장 섹시한 직업 데이터 사이언티스트,경제/경영,"15,000",0.0,0,#프로그래밍 #메타 버스 #과학 기술
301,"데이터 분석, R고 싶니",컴퓨터/IT,"25,000",0.0,0,#식별자 #데이터베이스 설계 #데이터베이스 관리
302,이제는 빅 데이터 시대,경제/경영,"7,500",9.2,4,#경제전망 #세계경제 #국제경제 #미래기술 #데이터융합
303,데이터 스토리텔링 연습,컴퓨터/IT,"35,000",0.0,0,#정부 간행물 #조사 목적 #국민 권익 위원회
304,matplotlib을 이용한 데이터 시각화 프로그래밍,컴퓨터/IT,"25,000",0.0,0,#베이즈 #로지스틱 #연습 문제
305,합격공식 데이터 분석 전문가/준전문가 단기완성(2019),컴퓨터/IT,"28,000",10,2,#손익계산서 #회귀분석 #가치주
306,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#인공지능 #프로그래밍 #고유값
307,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",8.8,0,#인공지능 #다중 회귀분석 #마이닝
308,R 데이터 시각화,컴퓨터/IT,"40,000",0.0,0,#상관분석 #기본 사용법 #분산분석
309,데이터 엔지니어링 로그프레소를 만나다,컴퓨터/IT,"19,500",8.5,0,#상권 분석 #효과 분석 #상거래
310,파이썬으로 배우는 데이터 과학,컴퓨터/IT,"30,000",0.0,0,#클라우드 #윈도우 #국정원
311,딥러닝 데이터 전처리 입문,컴퓨터/IT,"20,000",10,0,#크롤링 #엑셀 파일 #예제
312,데이터 과학으로 접근하는 정보보안,컴퓨터/IT,"40,000",9.2,0,#라이브러리 #문법 #기본 문장
313,스몰데이터,경제/경영,"16,000",0.0,0,#인공지능 #플롯 #마이닝
314,브라이틱스와 함께하는 데이터 분석,컴퓨터/IT,"39,000",0.0,0,#전산통계
315,R로 배우는 데이터 과학,컴퓨터/IT,"27,000",10,0,#대시보드 #프론트엔드 #미들웨어
316,데이터 사이언스 교과서,컴퓨터/IT,"25,000",0.0,0,#통계 자료 #국기 #시사 상식
317,직장인을 위한 실무 엑셀,컴퓨터/IT,"21,000",8.9,1,#환경 #전문 서적 #변환
318,"카프카, 데이터 플랫폼의 최강자",컴퓨터/IT,"30,000",10,3,#분산분석 #회귀분석 #모집단
319,국가공인 데이터 분석 준전문가 자격증 ADsP,컴퓨터/IT,"30,000",0.0,0,#프로그래밍 #파싱 #보이드
320,빅데이터 사용설명서,경제/경영,"18,000",0.0,0,#인간 #미디어 환경 #정보
321,쉽게 시작하는 캐글 데이터 분석,컴퓨터/IT,"22,000",9.4,9,#프로그래밍 #스트림 #개인정보 보호법
322,새로 쓴 대용량 데이터베이스솔루션 1,컴퓨터/IT,"45,000",0.0,0,#사회 자본 #정부 간행물 #변인
323,회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,컴퓨터/IT,"22,000",0.0,0,#인 스턴스 #버전 관리 #앱스
324,2022 이지패스 ADsP 데이터분석 준전문가,컴퓨터/IT,"28,000",10,0,#정부 간행물 #네트워크 #법안
325,데이터는 어떻게 자산이 되는가?,컴퓨터/IT,"18,000",0.0,0,#전처리 #텍스트 분석 #미래 참고 문헌
326,fMRI 데이터 분석의 이해,기술/공학,"25,000",0.0,0,#아키텍처
327,문화.관광.콘텐츠 데이터 공동활용 기반 구축 연구,정치/사회,"12,000",10,0,#통계학 #마케팅 전략 #공학
328,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",7.5,0,#엑셀 기능 #플러스 알파 #카이제곱 검정
329,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,0,#안내
330,데이터 아키텍처 전문가가 되는 방법,컴퓨터/IT,"10,000",0.0,0,#하이퍼링크 #컴퓨터 #언론
331,데이터 기반 비즈니스 모델 개발,경제/경영,"12,000",0.0,0,#통계학 #회귀분석 #상관분석
332,한권으로 파이썬 데이터 사이언스 입문 A to Z,컴퓨터/IT,"29,000",7.5,0,#정의 #식별자 #모델링
333,인공지능 학습용 데이터 품질관리 가이드라인 v2.0 2: 데이터구축 안내서,기술/공학,"38,000",8.8,0,#스레드 #정의 #자료 구조
334,인공지능 학습용 데이터 품질관리 가이드라인 v2.0 1: 품질관리 안내서,기술/공학,"22,000",10,0,#인공지능 #정부 간행물 #효과 분석
335,앞으로 데이터 분석을 시작하려는 사람을 위한 책,경제/경영,"20,000",0.0,0,#파싱 #로지스틱 #정규 표현식
336,"SPSS, R, Python을 활용한 Kaggle 데이터 전략 실무 연습",컴퓨터/IT,"28,000",0.0,0,#엑셀 함수 #클라우드 기반 #오피스
337,2022 이지패스 빅데이터분석기사 필기,컴퓨터/IT,"32,000",0.0,0,#랜덤 #모듈 #선형 계획법
338,데이터 과학 입문: R과 Python의 활용,컴퓨터/IT,"20,000",9.0,2,#블록체인 #경영학 #재생 에너지
339,관계형 데이터 모델링 노트,컴퓨터/IT,"39,000",8.5,1,#프로그래밍 #엑셀 #자바 스크립트
340,파워포인트를 활용한 데이터 인포그래픽 디자인 제작실무,컴퓨터/IT,"20,000",0.0,0,#인공지능 #실리콘밸리 #알고리즘
341,"코딩천재의 비법노트 1단계: 컴퓨터 시스템, 데이터 분석",어린이(초등),"13,000",0.0,0,#정부 간행물 #문제점 분석 #복지
342,빅데이터를 지배하는 통계의 힘 세트,경제/경영,"47,000",8.8,0,#응용문제 #인공지능 기술 #휴가지
343,R 데이터 분석 기초에서 회귀까지,컴퓨터/IT,"32,000",7.5,0,#경제전망
344,빅데이터와 데이터 과학,과학,"21,000",0.0,0,#차원 해석 #상관분석 #회귀분석
345,2022 전산직 군무원 데이터베이스론(이론+기출) 세트,취업/수험서,"39,000",10,0,#화용론 #보호주의 #개인 정보 보호
346,오라클 11g 대용량 데이터베이스 성능 튜닝,컴퓨터/IT,"34,000",8.1,0,#브랜드 #대푯값 #맹신
347,비전 진의 서: 나루토 캐릭터 공식 데이터북,만화,"10,000",0.0,0,#레이어 #시각화 #교통지
348,디지털 전환시대의 데이터 라이프 (컬러판),경제/경영,"10,500",10,0,#복잡도 #해싱 #문자열
349,학업중단 청소년의 특성과 중단 후 경로: 학업중단 청소년 패널조사1 데이터 분석 보고서,정치/사회,"10,000",9.4,4,#인공지능 #네이버 #엑셀
350,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#분산분석 #확률분포 #크롤링
351,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,0,#환경 #프로시저 #매크로
352,차세대 빅데이터 플랫폼 Data Lake,컴퓨터/IT,"25,000",9.5,1,#정부 간행물 #서언 국문 요약 #분석 모형
353,아이디어 불패의 법칙,경제/경영,"19,800",6.0,0,#클레멘타인 #로지스틱 #고객 관계 관리
354,데이터 구조(Data Structure),컴퓨터/IT,"23,000",9.4,0,#라우팅 프로토콜 #시스코 #라우터
355,엔터프라이즈 빅데이터 레이크,컴퓨터/IT,"30,000",0.0,0,#비즈니스 모델 #애플리케이션 #언론
356,위로의 데이터,시/에세이,"6,000",8.8,4,#식별자 #데이터베이스 관리 #물리
357,파이썬 라이브러리를 활용한 데이터 분석(2판) + 머신러닝(2판),컴퓨터/IT,"68,000",0.0,1,#주 요국 #스케어 #의료
358,데이터 마이닝,컴퓨터/IT,"45,000",0.0,0,#부분집합 #상관분석 #분석 모형
359,Python으로 시작하는 빅데이터분석 및 인공지능,컴퓨터/IT,"26,000",10,0,#파이썬 #베이스 #자바
